Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_10_3.png,0,-1,1;Tilemap_4_3.png,90,-1,-1;Tilemap_37_2.png,90,-1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,270,1,1;Tilemap_2_3.png,90,-1,1;Tilemap_2_3.png,90,-1,1;
Tilemap_4_3.png,0,-1,1;Tilemap_6.png,270,1,1;Tilemap_8.png,0,-1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_46.png,90,-1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,270,1,1;Tilemap_11.png,90,-1,1;Tilemap_11.png,90,-1,1;
Tilemap_2_2.png,0,-1,1;Tilemap_8.png,270,1,1;Tilemap_9.png,0,-1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,90,1,1;Tilemap_42.png,270,-1,1;Tilemap_11.png,90,1,1;Tilemap_11.png,270,-1,1;Tilemap_11.png,270,-1,1;
Tilemap_37_2.png,0,-1,1;Tilemap_11.png,180,1,1;Tilemap_11.png,0,1,1;Tilemap_7_1.png,0,-1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_2.png,90,1,1;Tilemap_2_3.png,270,-1,1;Tilemap_2_3.png,270,-1,1;
Tilemap_2_3.png,180,1,1;Tilemap_11.png,180,1,1;Tilemap_11.png,0,1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,270,1,1;Tilemap_1_3.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_3.png,180,1,1;Tilemap_1_3.png,180,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_2_3.png,180,1,1;Tilemap_11.png,180,1,1;Tilemap_41.png,180,-1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,270,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_2_3.png,180,1,1;Tilemap_11.png,180,1,1;Tilemap_11.png,0,1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,270,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,270,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_2_3.png,180,1,1;Tilemap_11.png,180,1,1;Tilemap_11.png,0,1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,270,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,270,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_2_3.png,180,1,1;Tilemap_47.png,0,-1,1;Tilemap_11.png,0,1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,270,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,90,1,1;Tilemap_1_2.png,90,1,1;Tilemap_1_2.png,180,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,270,1,1;Tilemap_1_2.png,0,1,1;
Tilemap_2_3.png,180,1,1;Tilemap_11.png,180,1,1;Tilemap_11.png,0,1,1;Tilemap_2_3.png,0,1,1;Tilemap_1_2.png,90,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,270,1,1;Tilemap_1_2.png,90,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,270,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_2.png,0,1,1;Tilemap_1_3.png,0,1,1;Tilemap_1_2.png,0,1,1;
